FIPS,State,County,Health_Outcomes_Z-Score_2010,Health_Outcomes_Rank_2010,Health_Factors_Z-Score_2010,Health_Factors_Rank_2010,Mortality_Z-Score_2010,Mortality_Rank_2010,Morbidity_Z-Score_2010,Morbidity_Rank_2010,Health_Behaviors_Z-Score_2010,Health_Behaviors_Rank_2010,Clinical_Care_Z-Score_2010,Clinical_Care_Rank_2010,Social_and_Economic Factors_Z-Score_2010,Social_and_Economic Factors_Rank_2010,Physical_Environment_Z-Score_2010,Physical_Environment_Rank_2010,Smoking_Z-Score_2010,Smoking_Rank_2010,Diet_and_Exercise_Z-Score_2010,Diet_and_Exercise_Rank_2010,Alcohol_Use_Z-Score_2010,Alcohol_Use_Rank_2010,Unsafe_Sex_Z-Score_2010,Unsafe_Sex_Rank_2010,Access_to_Care_Z-Score_2010,Access_to_Care_Rank_2010,Quality_of_Care_Z-Score_2010,Quality_of_Care_Rank_2010,Education_Z-Score_2010,Education_Rank_2010,Employment_Z-Score_2010,Employment_Rank_2010,Income_Z-Score_2010,Income_Rank_2010,Family_and_Social_Support_Z-Score_2010,Family_and_Social_Support_Rank_2010,Community_Safety_Z-Score_2010,Community_Safety_Rank_2010,Air_Quality_Z-Score_2010,Air_Quality_Rank_2010,Built_Environment_Z-Score_2010,Built_Environment_Rank_2010
36000,New York,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36001,New York,Albany,-0.06,27,-0.25,12,0.08,36,-0.14,18,-0.04,22,-0.16,4,-0.12,16,0.07,57,-0.02,24,0.00,30,-0.02,20,0.00,37,-0.09,9,-0.07,13,-0.04,12,-0.12,7,-0.03,23,0.00,32,0.08,55,0.02,47,0.04,54
36003,New York,Allegany,0.61,52,0.21,46,0.45,54,0.15,44,0.11,45,0.07,46,0.07,38,-0.05,9,0.10,52,0.00,30,0.05,56,-0.03,10,0.05,53,0.02,38,-0.02,17,0.08,46,0.06,54,-0.04,6,-0.01,30,-0.03,18,-0.01,24
36005,New York,Bronx,2.33,62,1.06,62,1.17,61,1.15,62,0.06,39,0.14,59,0.86,62,0.00,37,-0.06,18,-0.01,27,-0.07,2,0.19,62,-0.07,11,0.21,62,0.04,42,0.19,62,0.31,62,0.20,62,0.11,60,0.09,59,-0.09,1
36007,New York,Broome,0.25,40,-0.07,26,0.20,41,0.05,36,0.11,42,-0.12,10,-0.02,27,-0.03,13,0.05,45,0.06,46,-0.01,25,0.00,39,-0.03,18,-0.09,7,-0.01,28,-0.02,27,0.03,46,-0.01,22,-0.01,31,-0.04,2,0.01,37
36009,New York,Cattaraugus,0.94,56,0.49,56,0.84,59,0.10,41,0.24,58,0.11,55,0.17,50,-0.03,15,0.12,55,0.12,58,0.01,32,0.00,34,-0.01,23,0.12,59,0.05,46,0.04,41,0.07,55,0.03,56,-0.02,28,-0.03,24,-0.01,27
36011,New York,Cayuga,0.55,49,0.18,44,0.12,39,0.43,56,0.12,48,0.06,43,0.05,35,-0.05,8,0.10,51,0.00,30,0.02,43,0.00,40,0.04,48,0.01,37,0.07,54,-0.02,27,0.01,40,0.00,30,-0.02,24,-0.02,26,-0.03,14
36013,New York,Chautauqua,0.30,42,0.24,49,0.07,35,0.23,50,0.19,55,-0.06,15,0.05,34,0.07,55,-0.01,26,0.16,60,0.03,51,0.01,45,0.00,27,-0.06,14,0.02,35,-0.03,25,0.09,56,-0.03,14,0.00,34,0.07,57,-0.01,29
36015,New York,Chemung,1.17,60,0.19,45,0.09,37,1.08,61,0.09,41,-0.04,19,0.18,52,-0.04,10,0.01,38,0.06,46,-0.02,19,0.05,56,-0.06,12,0.02,41,0.07,51,-0.02,27,0.11,58,0.04,57,-0.01,32,-0.04,2,0.00,33
36017,New York,Chenango,0.31,43,0.13,38,0.26,43,0.04,35,0.04,35,-0.02,27,0.19,53,-0.08,2,-0.05,20,0.08,51,0.00,31,0.01,44,0.02,36,-0.04,18,0.05,47,0.08,46,0.00,39,0.06,60,0.00,37,-0.04,2,-0.04,9
